Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38)
9.999999999999999e-10,0.8067047037211199,0.0,1.4554814745424225e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6578415853259745,0.9999999999999273,0.0,0.0,0.00011308543423209952,0.00011308543423209952
1.469416873602144e-09,0.8067047037211199,0.0,2.138709037907929e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6577885078184681,0.9999999999998931,0.0,0.0,0.00016616294173851722,0.00016616294173851722
2.447674738580748e-09,0.806721170818127,0.0,3.562545237709559e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6576779088338807,0.9999999999998219,0.0,0.0,0.00027676192632596644,0.00027676192632596644
3.425932603559352e-09,0.8067376351460738,0.0,4.986381437511088e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6575673284449555,0.9999999999997508,0.0,0.0,0.00038734231525117574,0.00038734231525117574
4.404190468537956e-09,0.8067540967059307,0.0,6.410217637312515e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6574567666486902,0.9999999999996796,0.0,0.0,0.0004979041115164542,0.0004979041115164542
6.360706198495164e-09,0.8067870115240319,0.0,9.257890036915066e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6572356988176348,0.9999999999995373,0.0,0.0,0.0007189719425719033,0.0007189719425719033
8.317221928452372e-09,0.8068199152719084,0.0,1.2105562436517211e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6570147053185477,0.9999999999993949,0.0,0.0,0.0009399654416589464,0.0009399654416589464
9.999999999999999e-09,0.8068528079574508,0.0,1.4554814745419463e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6568246906346524,0.9999999999992725,0.0,0.0,0.00112998012555434,0.00112998012555434
1.027373765840958e-08,0.8068528079574508,0.0,1.495323483611895e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6567937861273806,0.9999999999992526,0.0,0.0,0.00116088463282614,0.00116088463282614
1.2230253388366787e-08,0.8068856895839581,0.0,1.7800907235720283e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6565729412194629,0.9999999999991103,0.0,0.0,0.0013817295407438192,0.0013817295407438192
