Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36)
2.2563047653580833e-08,0.5400809567513489,3.76,0.0,0.8171907516651993,0.9999908323363148,0.0,1.0530487166264435e-13,7.742497638326498e-10,0.006731835721439662,0.00018886060671036901,0.0002642710624532197,0.00013253249724447702,0.00014710480519688368,8.89946334416963e-06,3.8691574925651885e-05,1.4406973591518917e-08,2.5379336715265295e-07
2.3237961466652067e-08,0.5400922276489089,3.76,0.0,0.8170660284615294,0.9999905311584445,0.0,1.1999978535120335e-13,8.036437627811946e-10,0.006924630097464879,0.0001977429103875454,0.0002800601645097177,0.0001411627771438866,0.00015864831364800875,9.1901212678727e-06,4.2321622514739176e-05,1.5162619867560883e-08,2.635576674089745e-07
2.39128752797233e-08,0.5401035479798764,3.76,0.0,0.8169406516077914,0.999990227873878,0.0,1.3621971311751513e-13,8.330352403180978e-10,0.007116936686165248,0.00020676657327751492,0.0002962920943286177,0.00015009440825239964,0.00017072657852966821,9.482871090476872e-06,4.618397751310372e-05,1.593188171044132e-08,2.733231495517546e-07
2.4587789092794534e-08,0.5401149185273547,3.76,0.0,0.8168146146927769,0.9999899224303898,0.0,1.5406948886946968e-13,8.624171113987304e-10,0.00730875641389075,0.00021592978281784056,0.00031296559076558625,0.00015932773968739666,0.0001833479926131383,9.777768019046744e-06,5.028655470486508e-05,1.671454121149607e-08,2.830870498512578e-07
2.5262702905865768e-08,0.5401263400642422,3.76,0.0,0.8166879113010211,0.9999896147756601,0.0,1.7365741974850466e-13,8.917831017761184e-10,0.007500090217183589,0.0002252308293433267,0.0003300793949300166,0.00016886300537905237,0.00019652084364438267,1.0074867046527564e-05,5.4637271878929233e-05,1.75103941871148e-08,2.928468987529935e-07
2.5937616718937002e-08,0.5401378133537236,3.76,0.0,0.8165605350157893,0.999989304857312,0.0,1.9509525814230488e-13,9.211276579949527e-10,0.00769093904296741,0.00023466809715568063,0.00034763225018405913,0.0001787003328507547,0.00021025332021146976,1.0374222948560554e-05,5.924404684243649e-05,1.8319249025391467e-08,3.0260049016281254e-07
2.6612530532008236e-08,0.5401493391498255,3.76,0.0,0.8164324794218357,0.9999889926229398,0.0,2.1849817287369168e-13,9.504458673786882e-10,0.007881303848728994,0.00024424005632825923,0.0003656229021421014,0.00018883975126973026,0.000224553517103369,1.0675890280378609e-05,6.411479465781983e-05,1.9140925623376745e-08,3.123458539269562e-07
2.728744434507947e-08,0.540160918197875,3.76,0.0,0.816303738107961,0.9999886780201404,0.0,2.43984719712898e-13,9.797333868427547e-10,0.008071185602692809,0.0002539452551818692,0.00038405009867070104,0.00019928119883173522,0.00023942944020438414,1.0979923373773918e-05,6.925742508378166e-05,1.9975254408008078e-08,3.220812311574894e-07
2.7962358158150704e-08,0.5401725512349413,3.76,0.0,0.8161743046693776,0.9999883609965381,0.0,2.7167681129495126e-13,1.0089863796725507e-09,0.008260585283988715,0.000263782313382443,0.00040291258988898033,0.00021002452952888532,0.0002548890109582229,1.1286376334131264e-05,7.467984020505826e-05,2.0822075434881598e-08,3.3180505214200703e-07
2.8637271971221937e-08,0.5401842389902296,3.76,0.0,0.8160441727099015,0.9999880414998081,0.0,3.0169968652983335e-13,1.0382014594315516e-09,0.008449503882813174,0.0002737499156118958,0.0004222091281694859,0.000221069519349213,0.000270940070435378,1.159530303752086e-05,8.038993223600468e-05,2.1681237559308147e-08,3.4151591658344086e-07
