Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22)
8.983339092363142e-09,0.07398452600533163,3.76,0.0,0.8442152050055555,0.999999999301324,0.0,1.4788521060199406e-35,9.961572997300508e-25,2.232289208781596e-09,6.649563966744861e-10,4.11155967493762e-12,3.9195327298720885e-12,5.486858045748019e-12,6.776409842785634e-10,3.9355090285101827e-13,1.0682846420830547e-11,1.0275210599859546e-11,2.6321798924965882e-23,7.689034890945549e-14,4.7764439112076935e-26
9.96431863395759e-09,0.07398452600689881,3.76,0.0,0.8442152048079373,0.9999999992222172,0.0,2.1246217819246134e-35,1.1136158114551862e-24,2.4743711776493375e-09,7.362565094092598e-10,5.05619593361969e-12,4.542178431560672e-12,6.756727457014233e-12,7.520399964830276e-10,5.025539096860957e-13,1.3062778972418644e-11,1.2585348686301158e-11,3.607923782038106e-23,9.463231411880112e-14,7.25475586453897e-26
9.999999999999999e-09,0.07398452600846073,3.76,0.0,0.8442152048007471,0.9999999992193298,0.0,2.1513391093739765e-35,1.1178878118700346e-24,2.4831704367458526e-09,7.388453657620082e-10,5.092386442612876e-12,4.565432100066826e-12,6.805427760803199e-12,7.547476915294853e-10,5.068241001795303e-13,1.3153561904335266e-11,1.2673581744706562e-11,3.647409441633727e-23,9.531245776900644e-14,7.360143469007615e-26
1.0945298175552039e-08,0.07398452600846073,3.76,0.0,0.8442152046102036,0.9999999991425805,0.0,2.950161803209117e-35,1.2310271427389346e-24,2.716133877202092e-09,8.073163338288253e-10,6.097939267413046e-12,5.19646387629653e-12,8.15992939479893e-12,8.265223860258017e-10,6.28024630667938e-13,1.5665089616065636e-11,1.511764849824686e-11,4.803204789380274e-23,1.1422190189448185e-13,1.0597853535132522e-25
1.1926277717146488e-08,0.0739845260100175,3.76,0.0,0.8442152044123538,0.9999999990624202,0.0,3.9829479280473855e-35,1.3482981223144333e-24,2.9575804620452984e-09,8.781403898050705e-10,7.236662506007512e-12,5.880845008718446e-12,9.69678424573458e-12,9.010892243067819e-10,7.707540146275214e-13,1.8485603947971746e-11,1.7869082557207254e-11,6.241761693022868e-23,1.356611969696041e-13,1.4991123814265542e-25
1.2907257258740936e-08,0.07398452601156921,3.76,0.0,0.8442152042143871,0.9999999989817426,0.0,5.251373436920232e-35,1.4653797857210439e-24,3.1987140601224226e-09,9.487331134993004e-10,8.472239187821632e-12,6.593835057884052e-12,1.1367608029282894e-11,9.757415531352778e-10,9.315009183645427e-13,2.1520204289709817e-11,2.083664933799382e-11,7.947780911110715e-23,1.589523150529795e-13,2.0638191010656927e-25
1.3888236800335385e-08,0.07398452601311595,3.76,0.0,0.8442152040163033,0.9999999989005532,0.0,6.785231494390058e-35,1.5822898854967754e-24,3.439537745593248e-09,1.0190988113578286e-09,9.804544578818279e-12,7.334024659072046e-12,1.3172709340677416e-11,1.05048037229777e-09,1.110981370426863e-12,2.4764869021989013e-11,2.4017399371944996e-11,9.94580502169782e-23,1.840973924804489e-13,2.776279518226593e-25
1.4869216341929833e-08,0.07398452601465777,3.76,0.0,0.8442152038181016,0.999999998818858,0.0,8.615097124981459e-35,1.6990564232419212e-24,3.6800545649436954e-09,1.0892417080445275e-09,1.1233454695112917e-11,8.100058217790646e-12,1.5112392297584983e-11,1.125306653339281e-09,1.3098813639992072e-12,2.8215633529250318e-11,2.7408410114175076e-11,1.2260824769487866e-22,2.1109859456882593e-13,3.6607769208481687e-25
1.5850195883524284e-08,0.07398452601619478,3.76,0.0,0.8442152036197815,0.999999998736663,0.0,1.0772674201134161e-34,1.8156851659438982e-24,3.920267514758995e-09,1.1591659096080667e-09,1.2758847141506288e-11,8.890649459919228e-12,1.7186954049297632e-11,1.2002213297891274e-09,1.5288485993085995e-12,3.186862209515275e-11,3.10068073321397e-11,1.4918201506339525e-22,2.3995810654886376e-13,4.7436578477587e-25
1.6831175425118732e-08,0.07398452601772705,3.76,0.0,0.8442152034213424,0.999999998653974,0.0,1.3290363769926102e-34,1.932168725447523e-24,4.160179561468183e-09,1.2288754395717588e-09,1.4380600371835908e-11,9.704563738305665e-12,1.939668700347154e-11,1.2752253075044471e-09,1.7685020537226819e-12,3.5720018422888855e-11,3.4809746100544685e-11,1.7943737008584545e-22,2.706781400506954e-13,6.053266555556867e-25
