Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40)
2.4970429066802387e-08,0.08543667695774684,3.76,0.0,0.8213535364766092,0.9999999998591207,0.0,1.1301982461716117e-39,5.146157257225598e-28,1.2028530094528764e-10,1.2667550245209962e-10,1.9198845999327552e-13,2.5014075248657895e-13,1.5921814038584726e-12,1.3511656237442246e-10,3.193502174723758e-14,5.762696370580224e-12
2.8083996100203578e-08,0.08543667695784037,3.76,0.0,0.8213535364523518,0.9999999998406159,0.0,1.729450410607141e-39,5.80923475669727e-28,1.3525680527455013e-10,1.4153970637127025e-10,2.428180747494503e-13,3.0070100472484495e-13,2.0116355303863703e-12,1.5215856374602266e-10,4.3177644492804733e-14,7.225460682439539e-12
3.119756313360477e-08,0.0854366769579317,3.76,0.0,0.821353536428086,0.9999999998219175,0.0,2.5278169938896696e-39,6.471999913363752e-28,1.5022235487213377e-10,1.5621332566542557e-10,2.9960241631149113e-13,3.5407354457764363e-13,2.4795172113010255e-12,1.692440559030333e-10,5.6544745807639356e-14,8.838461267510064e-12
3.431113016700596e-08,0.08543667695802082,3.76,0.0,0.821353536403812,0.9999999998030293,0.0,3.5597156860865375e-39,7.134504525904092e-28,1.6518195211218506e-10,1.7070076524710497e-10,3.623391100662325e-13,4.099207115253659e-13,2.9956641967460764e-12,1.8637310536532465e-10,7.214521626785737e-14,1.0597561978854818e-11
3.7424697200407154e-08,0.08543667695810786,3.76,0.0,0.82135353637953,0.9999999997839556,0.0,4.8608300372185973e-39,7.796796718643876e-28,1.8013559935655337e-10,1.850062799625582e-10,4.310257937025774e-13,4.679414138089374e-13,3.5599170707983562e-12,2.0354576012709193e-10,9.007273730095947e-14,1.2498758705050428e-11
4.0538264233808344e-08,0.08543667695819283,3.76,0.0,0.8213535363552394,0.9999999997646998,0.0,6.467588464938415e-39,8.458827716966486e-28,1.9508329897381406e-10,1.9913403161754453e-10,5.056600981824889e-13,5.278590553147712e-13,4.172117642548274e-12,2.207620551894898e-10,1.1041071274549913e-13,1.4538128865837e-11
4.3651831267209535e-08,0.08543667695827585,3.76,0.0,0.8213535363309407,0.999999999745266,0.0,8.417117751958333e-39,9.120561529210112e-28,2.1002505332547386e-10,2.130880553971194e-10,5.862396615388478e-13,5.894252552581457e-13,4.832109973820585e-12,2.3802201122729576e-10,1.332309102263578e-13,1.6711862619784825e-11
4.6765398300610726e-08,0.08543667695835687,3.76,0.0,0.8213535363066332,0.999999999725658,0.0,1.0746996470542348e-38,9.78203531461287e-28,2.2496086477798467e-10,2.268722951648212e-10,6.727621168584519e-13,6.524126899265564e-13,5.539739373208589e-12,2.5532563783226485e-10,1.5859637008975936e-13,1.9016231467990955e-11
4.9878965334011916e-08,0.08543667695843607,3.76,0.0,0.8213535362823172,0.9999999997058794,0.0,1.349516451165587e-38,1.0443270564581947e-27,2.3989073569265773e-10,2.404905803740858e-10,7.652251023696394e-13,7.166171499236781e-13,6.294853124288523e-12,2.726729328898304e-10,1.8656069967438055e-13,2.1447609918809674e-11
5.299253236741311e-08,0.08543667695851338,3.76,0.0,0.8213535362579927,0.9999999996859338,0.0,1.6699720434042468e-38,1.1104237327862512e-27,2.548146684335333e-10,2.53946649367276e-10,8.636262535705033e-13,7.818527470191943e-13,7.097299826473171e-12,2.900638847617949e-10,2.1717002462342215e-13,2.4002454791409073e-11
5.61060994008143e-08,0.08543667695858895,3.76,0.0,0.8213535362336596,0.9999999996658242,0.0,2.0398822618217963e-38,1.1764923459956575e-27,2.6973266536062246e-10,2.672441355413243e-10,9.679632099888445e-13,8.479525301001271e-13,7.946929857691073e-12,3.074984722743533e-10,2.504628475895016e-13,2.6677318452914855e-11
6.233323346761668e-08,0.08543667695873491,3.76,0.0,0.8213535361849672,0.9999999996251278,0.0,2.943294909590593e-38,1.3085520629895146e-27,2.995508612184037e-10,2.9337745314310806e-10,1.1944350916644678e-12,9.821511181551092e-13,9.787148045779079e-12,3.42498431540788e-10,3.25223341893703e-13,3.237371519972873e-11
6.856036753441906e-08,0.08543667695887432,3.76,0.0,0.8213535361362402,0.9999999995838167,0.0,4.0900832875333e-38,1.4405053741083742e-27,3.2934534214073617e-10,3.1891779647624765e-10,1.4446218689518034e-12,1.1181745664993975e-12,1.181433882957574e-11,3.7767249041542864e-10,4.11031943422915e-13,3.8510876602326626e-11
7.478750160122144e-08,0.08543667695900753,3.76,0.0,0.8213535360874784,0.9999999995419157,0.0,5.510172791486904e-38,1.5723602459608534e-27,3.5911612697731e-10,3.4389101769097426e-10,1.7185046884373044e-12,1.2551896546144073e-12,1.4027356078616935e-11,4.1302022623750304e-10,5.07998401576986e-13,4.5064187535500615e-11
8.101463566802382e-08,0.08543667695913491,3.76,0.0,0.8213535360386816,0.9999999994994487,0.0,7.232898050194415e-38,1.7041034652992042e-27,3.8886323456429737e-10,3.683216876207259e-10,2.0160647102059455e-12,1.392519208064341e-12,1.6425073927543507e-11,4.4854113948060264e-10,6.16173550466502e-13,5.201023502399301e-11
8.72417697348262e-08,0.0854366769592568,3.76,0.0,0.8213535359898501,0.9999999994564388,0.0,9.286821056660603e-38,1.8357476289559707e-27,4.1858668373137255e-10,3.922331911920849e-10,2.337283100817987e-12,1.5296103676496606e-12,1.900638506975835e-11,4.842346702445734e-10,7.355628415230363e-13,5.932672806448563e-11
9.346890380162859e-08,0.08543667695937353,3.76,0.0,0.8213535359409835,0.9999999994129074,0.0,1.1699758624622419e-37,1.9672793748626152e-27,4.4828649329673406e-10,4.156477681737006e-10,2.682141038288618e-12,1.6660215345723555e-12,2.1770200381577168e-11,5.201002053689703e-10,8.661319090282528e-13,6.699246282303291e-11
9.969603786843097e-08,0.08543667695948533,3.76,0.0,0.8213535358920822,0.9999999993688757,0.0,1.4498723169969968e-37,2.0987154918641913e-27,4.779626820587216e-10,4.385865411135307e-10,3.0506197204751056e-12,1.8014123935243425e-12,2.4715448870338657e-11,5.561370840681265e-10,1.0078108600636686e-12,7.498729904804539e-11
9.999999999999998e-08,0.08543667695969544,3.76,0.0,0.8213535358896944,0.9999999993667139,0.0,1.4645690978448727e-37,2.105128985500645e-27,4.794106474298733e-10,4.3969441631063933e-10,3.0692104007716034e-12,1.8079901908444426e-12,2.4863839640620166e-11,5.579005090073312e-10,1.0150093662945307e-12,7.538563273965676e-11
1.1215030600203573e-07,0.08543667695969544,3.76,0.0,0.8213535357941761,0.9999999992793894,0.0,2.1358995408255737e-37,2.361250514734801e-27,5.37244272288825e-10,4.831160574202683e-10,3.858364187448735e-12,2.0681364725053466e-12,3.114604420501885e-11,6.287220648992208e-10,1.3241012408402012e-12,9.188862221054936e-11
1.2238921311855005e-07,0.08543667695985592,3.76,0.0,0.8213535357135825,0.9999999992044849,0.0,2.8375085126277615e-37,2.576787525711578e-27,5.859102671949417e-10,5.184641609028727e-10,4.593033170635533e-12,2.282597221714203e-12,3.696737946061137e-11,6.889027735259704e-10,1.616440780886211e-12,1.0661236565599713e-10
1.3262812023506435e-07,0.0854366769600065,3.76,0.0,0.821353535632897,0.9999999991284563,0.0,3.6745823251317794e-37,2.792085719125894e-27,6.345126380621842e-10,5.527563377456054e-10,5.391325985811821e-12,2.492222107561616e-12,4.326634647825041e-11,7.495374613660394e-10,1.9372686469547987e-12,1.2200651605121624e-10
1.4286702735157865e-07,0.08543667696014816,3.76,0.0,0.8213535355521198,0.9999999990513726,0.0,4.657042112194465e-37,3.007034298140219e-27,6.830514680468135e-10,5.860624326859785e-10,6.2531594594436966e-12,2.6967807197291657e-12,5.003858193818389e-11,8.10622662097959e-10,2.285918246536172e-12,1.3800484220785783e-10
1.5310593446809295e-07,0.08543667696028186,3.76,0.0,0.8213535354712524,0.9999999989732988,0.0,5.794307504186018e-37,3.221671367375942e-27,7.315268402100964e-10,6.184469410285045e-10,7.1784505129272685e-12,2.89618940782454e-12,5.7279814404921916e-11,8.721548705498807e-10,2.6617069620216297e-12,1.545463545563275e-10
1.6334484158460725e-07,0.08543667696040846,3.76,0.0,0.8213535353902951,0.9999999988942945,0.0,7.095403622175653e-37,3.43613680421663e-27,7.799388374976832e-10,6.499693652925667e-10,8.167116183233473e-12,3.0904815999495546e-12,6.498586071751314e-11,9.341305585619157e-10,3.0639463600503293e-12,1.715749623376065e-10
1.7358374870112156e-07,0.08543667696052866,3.76,0.0,0.8213535353092485,0.9999999988144148,0.0,8.568919915761622e-37,3.650296005858359e-27,8.282875427454093e-10,6.806846287211268e-10,9.219073617119322e-12,3.2797700766585794e-12,7.31526204820935e-11,9.96546193905573e-10,3.4919554906377556e-12,1.8903907889531292e-10
1.8382265581763586e-07,0.08543667696064323,3.76,0.0,0.8213535352281137,0.9999999987337105,0.0,1.0222954429098093e-36,3.864048823428729e-27,8.765730386744625e-10,7.106434293364187e-10,1.0334240075977513e-11,3.4642184838517024e-12,8.177607178870331e-11,1.059398254821879e-09,3.945070552962874e-12,2.068912815738087e-10
1.9406156293415016e-07,0.08543667696075287,3.76,0.0,0.8213535351468915,0.9999999986522289,0.0,1.2065399219862107e-36,4.077644238862171e-27,9.247954079011322e-10,7.398926099684019e-10,1.1512532926094423e-11,3.644016148952088e-12,9.085226613240016e-11,1.1226832421332809e-09,4.422652888379781e-12,2.2508795475188468e-10
2.0430047005066446e-07,0.08543667696085812,3.76,0.0,0.8213535350655821,0.9999999985700133,0.0,1.4103909510747445e-36,4.291051785541176e-27,9.729547329336926e-10,7.684754573284787e-10,1.2753869641777762e-11,3.819366455228206e-12,1.003773248325792e-10,1.1863976847828166e-09,4.924091486232961e-12,2.4358899685865127e-10
2.1453937716717876e-07,0.08543667696095955,3.76,0.0,0.8213535349841865,0.9999999984871044,0.0,1.6345581125516542e-36,4.5039512670238726e-27,1.0210510961752943e-09,7.964319875990976e-10,1.4058167802475115e-11,3.990479551861224e-12,1.10347435384583e-10,1.2505381428252874e-09,5.44880363421367e-12,2.62357539079787e-10
2.350171914002074e-07,0.08543667696115305,3.76,0.0,0.8213535348211394,0.9999999983193522,0.0,2.146665557255996e-36,4.929027477760114e-27,1.1170552663495778e-09,8.506112145411924e-10,1.6855319325468435e-11,4.320845863603504e-12,1.316078764574939e-10,1.3800835098526843e-09,6.565856468571231e-12,3.005644205227183e-10
2.51888767307699e-07,0.08543667696130514,3.76,0.0,0.8213535346865514,0.9999999981793568,0.0,2.6355712255832326e-36,5.2787575856705985e-27,1.1959641424251183e-09,8.936637042199241e-10,1.9348391496889105e-11,4.5821083576886915e-12,1.5042985050043496e-10,1.4880664717951947e-09,7.551574468744669e-12,3.325767153664677e-10
2.6876034321519063e-07,0.08543667696145249,3.76,0.0,0.8213535345517369,0.9999999980378884,0.0,3.1878488073591766e-36,5.627867709103544e-27,1.274703099768248e-09,9.35421832466224e-10,2.201138124290346e-11,4.8344163346113446e-12,1.704142743969297e-10,1.5971639996748119e-09,8.594130536655256e-12,3.6494767706555374e-10
2.8563191912268226e-07,0.08543667696159657,3.76,0.0,0.821353534416698,0.9999999978950604,0.0,3.80622635967689e-36,5.975321855549115e-27,1.3532725041832378e-09,9.75998193729942e-10,2.4843922682359757e-11,5.07855422204168e-12,1.9154560045782678e-10,1.7073616544743255e-09,9.69163155746546e-12,3.97577999848062e-10
3.025034950301739e-07,0.08543667696173866,3.76,0.0,0.8213535342814365,0.9999999977509731,0.0,4.4934690165668075e-36,6.322869374776828e-27,1.4316727206773476e-09,1.0154918306273634e-09,2.784565073148621e-11,5.315241945552247e-12,2.138086372120748e-10,1.8186452557252862e-09,1.08423465879529e-11,4.3038173652671706e-10
3.1937507093766553e-07,0.08543667696187998,3.76,0.0,0.8213535341459549,0.9999999976057149,0.0,5.252491685042e-36,6.668148452854725e-27,1.5099041134764408e-09,1.0539900982473141e-09,3.101620108830834e-11,5.545121242114403e-12,2.371885248016022e-10,1.931000881798975e-09,1.2044695646869886e-11,4.63284447572619e-10
