Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36)
6.718738087160383e-07,0.48102428540424075,3.76,0.0,0.9787204092733919,0.9999999992197731,0.0,5.7817751015456204e-36,1.311313558396543e-26,2.7200691023240514e-09,6.889196888969636e-10,2.416863751241799e-11,5.169824436241682e-11,1.0135329939075189e-11,7.375751799650708e-12,2.112550423871098e-22,2.7292247269843138e-24,7.432607065716474e-10,3.6966357119872106e-11
7.186629332111387e-07,0.4810242854121589,3.76,0.0,0.9787204091223519,0.9999999991606351,0.0,7.311511253779666e-36,1.4012722450636902e-26,2.9055420908330187e-09,7.357354173411484e-10,2.7625457581112844e-11,5.908108805178639e-11,1.115053610908447e-11,8.737800230900907e-12,2.622699459569848e-22,3.6150766819518825e-24,7.976459992935233e-10,4.171889461622082e-11
8.122411822013397e-07,0.48102428542797754,3.76,0.0,0.9787204088191966,0.9999999990406937,0.0,1.116534767839877e-35,1.5805461689186067e-26,3.2751638577601325e-09,8.289905727030488e-10,3.52215408555572e-11,7.529914391006152e-11,1.3215622726436166e-11,1.1855521656042278e-11,3.8944593042391334e-22,6.0379738890888644e-24,9.074406536302865e-10,5.186572825215109e-11
8.919913892255114e-07,0.48102428544144327,3.76,0.0,0.9787204085597022,0.9999999989367733,0.0,1.5389106073628022e-35,1.732676155210388e-26,3.5888235815901685e-09,9.080793770276478e-10,4.2410689045529096e-11,9.064271336049644e-11,1.500203268441804e-11,1.4933002322688458e-11,5.279900997329413e-22,8.955431198069888e-24,1.0020860773749364e-09,6.114071696092032e-11
9.717415962496831e-07,0.481024285454899,3.76,0.0,0.9787204082991606,0.9999999988313362,0.0,2.0585759547705829e-35,1.884229883958266e-26,3.901297139953089e-09,9.868214870607238e-10,5.025560477635908e-11,1.0738034813093832e-10,1.680464612065439e-11,1.840208736153616e-11,6.983940588712743e-22,1.2858598081125369e-23,1.0977177577046612e-09,7.094609397912e-11
9.999999999999997e-07,0.48102428546834747,3.76,0.0,0.9787204082065898,0.9999999987936204,0.0,2.267967017629379e-35,1.937796672644872e-26,4.011741590409103e-09,1.0146407614305034e-09,5.319223070206332e-11,1.1364445584040724e-10,1.744613467484174e-11,1.97258543661533e-11,7.671812105008304e-22,1.4518151251475388e-23,1.1318395990044656e-09,7.453992242398827e-11
1.0514918032738549e-06,0.48102428546834747,3.76,0.0,0.9787204080375711,0.9999999987244268,0.0,2.685654755437705e-35,2.0352285799587006e-26,4.2126280994381665e-09,1.0652234293209335e-09,5.875384957510706e-11,1.255059817665951e-10,1.8617688811772544e-11,2.2265675390605286e-11,9.047355176301184e-22,1.7964155108554155e-23,1.1943325036888195e-09,8.124073040897047e-11
1.1312420102980266e-06,0.48102428548179205,3.76,0.0,0.9787204077749343,0.9999999986160866,0.0,3.430141885367578e-35,2.185691803368173e-26,4.522856926029306e-09,1.1432905816373287e-09,6.790307304742157e-11,1.4501365470828558e-10,2.043682538942251e-11,2.652553515498246e-11,1.1512759522147938e-21,2.451543587071273e-23,1.291926922310643e-09,9.198650988682307e-11
1.2109922173221984e-06,0.4810242854952352,3.76,0.0,0.9787204075112517,0.9999999985063545,0.0,4.3019000086451294e-35,2.335637946658223e-26,4.832021216866966e-09,1.2210274917348596e-09,7.770100649396155e-11,1.6589749467650248e-10,2.225877381851995e-11,3.118261087995067e-11,1.4424563340740293e-21,3.2783606456591177e-23,1.3904974790199403e-09,1.031481032044246e-10
1.2907424243463701e-06,0.48102428550867954,3.76,0.0,0.9787204072465251,0.9999999983952667,0.0,5.31065770756462e-35,2.4850841264058847e-26,5.140155908850027e-09,1.2984380886333193e-09,8.814545714038572e-11,1.8815170368353788e-10,2.4081047655990424e-11,3.623722645206691e-11,1.7828926176812213e-21,4.306879555035672e-23,1.4900405383054058e-09,1.1469276547670359e-10
1.3704926313705419e-06,0.48102428552212745,3.76,0.0,0.9787204069807566,0.9999999982828576,0.0,6.466012985948479e-35,2.634045933133649e-26,5.44729347367672e-09,1.3755258433314327e-09,9.923430274839104e-11,2.1177054825594585e-10,2.5901758815375588e-11,4.168924171468471e-11,2.1773718298765926e-21,5.570120392241834e-23,1.5905523948569433e-09,1.2659014648951082e-10
1.4502428383947136e-06,0.4810242855355813,3.76,0.0,0.9787204067139488,0.9999999981691587,0.0,7.777435939733753e-35,2.782538072831589e-26,5.753464095903441e-09,1.4522938743720567e-09,1.1096548668395438e-10,2.3674835304835244e-10,2.7719486231015476e-11,4.753815657873168e-11,2.630847915199749e-21,7.104217779506459e-23,1.692029294404505e-09,1.3881211757228334e-10
1.5299930454188854e-06,0.4810242855490428,3.76,0.0,0.9787204064461047,0.9999999980542,0.0,9.254275672472954e-35,2.930574480244604e-26,6.058695839988596e-09,1.5287450356812319e-09,1.2333701329892667e-10,2.6307949558115203e-10,2.953316589229712e-11,5.3783198217884264e-11,3.148438007663566e-21,8.948526622980977e-23,1.7944674512263467e-09,1.5133260917238706e-10
1.609743252443057e-06,0.4810242855625142,3.76,0.0,0.9787204061772269,0.9999999979380098,0.0,1.0905763887629707e-34,3.078167626599016e-26,6.363014804811309e-09,1.6048819848325271e-09,1.3634694365710755e-10,2.907584021646076e-10,3.1342004522773053e-11,6.042338953095088e-11,3.73541855762608e-21,1.1145725089202762e-22,1.897863061931612e-09,1.641274606101295e-10
1.6894934594672289e-06,0.48102428557599697,3.76,0.0,0.9787204059073187,0.9999999978206136,0.0,1.2741020338758837e-34,3.225329141718951e-26,6.6664452676651124e-09,1.6807072376354496e-09,1.499933915547771e-10,3.1977954466528e-10,3.314540983365554e-11,6.745760447619747e-11,4.3972217954082014e-21,1.3741915659854977e-22,2.002212316638924e-09,1.7717428006434277e-10
1.7692436664914006e-06,0.48102428558949284,3.76,0.0,0.9787204056363832,0.9999999977020364,0.0,1.476905763054331e-34,3.372070475027625e-26,6.969009817070726e-09,1.7562232056778388e-09,1.6427451984695273e-10,3.5013743829595114e-10,3.494294138330723e-11,7.488460707741989e-11,5.139432141422548e-21,1.67867234809004e-22,2.107511406900731e-09,1.9045231543318745e-10
